id,code,name
317,00466,"['发展', '教育', '心理学', '发展与教育心理学']"
318,05616,"['心理', '测量', '评估', '心理测量与评估']"
319,05617,"['心理', '测量', '评估', '实践', '心理测量与评估（实践）']"
320,05618,"['青少年', '心理卫生', '青少年心理卫生']"
321,05619,"['心理咨询', '辅导', '心理咨询与辅导(一)']"
322,05620,"['心理咨询', '辅导', '实践', '心理咨询与辅导(一)（实践）']"
323,03372,"['团体', '心理', '辅导', '团体心理辅导']"
324,04265,"['社会心理学', '社会心理学']"
325,03518,"['特殊', '儿童心理', '教育', '特殊儿童心理与教育']"
326,03517,"['心理健康', '教育', '课程设计', '心理健康教育课程设计']"
327,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
328,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
329,04729,"['大学语文', '大学语文']"
330,00341,"['公文', '写作', '处理', '公文写作与处理']"
331,00854,"['现代汉语', '基础', '现代汉语基础']"
332,00315,"['当代', '中国', '政治', '制度', '当代中国政治制度']"
333,00345,"['秘书学', '概论', '秘书学概论']"
334,00182,"['公共关系', '公共关系学']"
335,00040,"['法学', '概论', '法学概论']"
336,00509,"['机关', '管理', '机关管理']"
337,00163,"['管理', '心理学', '管理心理学']"
338,00346,"['办公自动化', '原理', '应用', '办公自动化原理及应用']"
339,00347,"['办公自动化', '原理', '应用', '实践', '办公自动化原理及应用（实践）']"
340,00510,"['秘书', '实务', '秘书实务']"
341,00514,"['外国', '秘书', '工作', '概况', '外国秘书工作概况']"
342,00144,"['企业', '管理', '概论', '企业管理概论']"
343,00024,"['普通', '逻辑', '普通逻辑']"
344,05679,"['宪法学', '宪法学']"
345,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
346,11485,"['中学', '教育学', '中学教育学']"
347,11486,"['中学', '心理学', '中学心理学']"
348,11492,"['现代汉语', '现代汉语 （一）']"
349,11493,"['现代汉语', '现代汉语 （二）']"
350,00529,"['文学', '概论', '文学概论 （一）']"
351,11350,"['基础', '写作', '基础写作']"
352,11494,"['古代汉语', '古代汉语 （一）']"
353,11495,"['古代汉语', '古代汉语 （二）']"
354,00532,"['中国', '古代文学', '作品选', '中国古代文学作品选 （一）']"
355,00533,"['中国', '古代文学', '作品选', '中国古代文学作品选 （二）']"
356,11496,"['中小学', '语文', '教材', '教法', '中小学语文教材教法']"
357,00530,"['中国', '现代文学', '作品选', '中国现代文学作品选']"
358,00531,"['中国', '当代文学', '作品选', '中国当代文学作品选']"
359,07846,"['教育', '实习', '教育实习 （一）']"
360,05679,"['宪法学', '宪法学']"
361,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
362,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
363,04729,"['大学语文', '大学语文']"
364,18956,"['法律事务', '管理', '法律事务管理']"
365,07489,"['应用', '写作', '应用写作']"
366,00182,"['公共关系', '公共关系学']"
367,00054,"['管理学', '原理', '管理学原理']"
368,11520,"['秘书', '事务管理', '秘书事务管理']"
369,00776,"['档案学', '概论', '档案学概论']"
370,08020,"['商务', '秘书学', '商务秘书学']"
371,18960,"['礼仪', '礼仪学']"
372,18961,"['财务管理', '会计', '基础', '财务管理与会计基础']"
373,07786,"['国际', '商务', '国际商务']"
374,11323,"['办公自动化', '办公自动化']"
375,18963,"['商务调查', '报告', '商务调查报告']"
376,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
377,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
378,04729,"['大学语文', '大学语文']"
379,00794,"['综合', '英语', '综合英语（一）']"
380,00795,"['综合', '英语', '综合英语（二）']"
381,00522,"['英语', '国家', '概况', '英语国家概况']"
382,00831,"['英语语法', '英语语法']"
383,00595,"['英语', '阅读', '英语阅读（一）']"
384,05439,"['商务英语', '阅读', '商务英语阅读']"
385,05440,"['商务英语', '写作', '商务英语写作']"
386,01314,"['商务', '英语口语', '商务英语口语']"
387,01315,"['商务', '英语听力', '商务英语听力']"
388,00040,"['法学', '概论', '法学概论']"
389,05679,"['宪法学', '宪法学']"
390,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
391,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
392,04729,"['大学语文', '大学语文']"
393,00018,"['计算机', '应用', '基础', '计算机应用基础']"
394,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
395,00058,"['市场', '营销学', '市场营销学']"
396,00633,"['新闻学', '概论', '新闻学概论']"
397,00634,"['广告', '策划', '广告策划']"
398,00635,"['广告', '法规', '管理', '广告法规与管理']"
399,00636,"['广告', '心理学', '广告心理学']"
400,00637,"['广告媒体', '分析', '广告媒体分析']"
401,00850,"['广告设计', '基础', '广告设计基础']"
402,00851,"['广告', '文案', '写作', '广告文案写作']"
403,00853,"['广告学', '广告学（二）']"
404,00012,"['英语', '英语（一）']"
405,00178,"['市场', '调查', '预测', '市场调查与预测']"
406,00182,"['公共关系', '公共关系学']"
407,00638,"['企业形象', '策划', 'CIS', '企业形象与策划（CIS）']"
408,00144,"['企业', '管理', '概论', '企业管理概论']"
409,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
410,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
411,04729,"['大学语文', '大学语文']"
412,00058,"['市场', '营销学', '市场营销学']"
413,00107,"['现代', '管理学', '现代管理学']"
414,00643,"['公关', '心理学', '公关心理学']"
415,00647,"['公关', '语言', '公关语言']"
416,00646,"['公共关系', '写作', '公共关系写作']"
417,00644,"['公关礼仪', '公关礼仪']"
418,00645,"['公共关系', '策划', '公共关系策划']"
419,00182,"['公共关系', '公共关系学']"
420,00018,"['计算机', '应用', '基础', '计算机应用基础']"
421,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
422,00853,"['广告学', '广告学(二)']"
423,00642,"['传播学', '概论', '传播学概论']"
424,00012,"['英语', '英语（一）']"
425,00638,"['企业形象', '策划', '企业形象与策划']"
426,00034,"['社会学', '概论', '社会学概论']"
427,00031,"['心理学', '心理学']"
428,04577,"['中国通史', '中国通史']"
429,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
430,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
431,10177,"['设计', '基础', '设计基础']"
432,00504,"['艺术', '概论', '艺术概论']"
433,04317,"['素描', '素描']"
434,04315,"['色彩', '色彩']"
435,10351,"['平面', '构成', '平面构成（一）']"
436,10409,"['色彩', '构成', '色彩构成（一）']"
437,10410,"['招贴', '设计', '招贴设计']"
